CAPSCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA; LONGITUDINE; LATITUDINE
35010;PDIC84300G;PDEE84301N;ISTITUTO COMPRENS.  GRANTORTO;GRANTORTO - DE AMICIS;GRANTORTO;SCUOLA PRIMARIA;PDIC84300G@istruzione.it;VIA ALCIDE DE GASPERI 27;PADOVA;VENETO;www.icgrantorto.gov.it;11.83199;45.551137
45019;ROIC80500N;ROIC80500N;TAGLIO DI PO;TAGLIO DI PO;TAGLIO DI PO;ISTITUTO COMPRENSIVO;ROIC80500N@istruzione.it;VIA MANZONI 1;ROVIGO;VENETO;Non Disponibile;12.2158834;45.0055443
31036;TVIC83100B;TVIC83100B;IC ISTRANA;IC ISTRANA;ISTRANA;ISTITUTO COMPRENSIVO;TVIC83100B@istruzione.it;VIA S.PIO X 39;TREVISO;VENETO;Non Disponibile;12.1053163;45.6767432
30174;VEPS05000A;VEPS05000A;UGO  MORIN;UGO  MORIN;VENEZIA;LICEO SCIENTIFICO;VEPS05000A@istruzione.it;VIA ASSEGGIANO N.  39;VENEZIA;VENETO;www.liceomorin.net;12.2150129;45.4916326
30123;VESD020001;VESD020001;LICEO ARTISTICO STATALE M. GUGGENHEIM;LICEO ARTISTICO STATALE M. GUGGENHEIM;VENEZIA;ISTITUTO D'ARTE;VESD020001@istruzione.it;DORSODURO 2613;VENEZIA;VENETO;www.liceoguggenheim.gov.it;12.3248032;45.432838
37122;VRPM01000L;VRPM01000L;CARLO MONTANARI;CARLO MONTANARI;VERONA;ISTITUTO MAGISTRALE;VRPM01000L@istruzione.it;VICOLO     STIMATE 4;VERONA;VENETO;www.liceomontanari.it;10.9938973;45.4347152
37026;VRIC836006;VRAA836013;IC 02 PESCANTINA;BALCONI - L. CALABRESE;PESCANTINA;SCUOLA INFANZIA;VRIC836006@istruzione.it;VIA SIEDLCE 4;VERONA;VENETO;www.ic2pescantina.gov.it;10.8687814;45.4917756
36100;VIIC86600N;VIAA86602G;IC VICENZA 11- VIA PRATI;I.C.11- VICENZA -PRESIDIO SANIT;VICENZA;SCUOLA INFANZIA;VIIC86600N@istruzione.it;VIA SAN BORTOLO;VICENZA;VENETO;www.ic11viaprati.it;11.5439835;45.5566489
36078;VIIC82800V;VIIC82800V;IC 1 VALDAGNO;IC 1 VALDAGNO;VALDAGNO;ISTITUTO COMPRENSIVO;VIIC82800V@istruzione.it;VIA PASUBIO 171;VICENZA;VENETO;Non Disponibile;11.2963838;45.6635082
30015;VEIC853008;VEMM853019;I.C. CHIOGGIA 2;G.PASCOLI;CHIOGGIA;SCUOLA PRIMO GRADO;VEIC853008@istruzione.it;VIALE BACCHIGLIONE N.  2;VENEZIA;VENETO;VEIC853008@ISTRUZIONE.IT;12.291491;45.213292
35042;PDIS026002;PDIS026002;I.I.S. EUGANEO - ESTE;I.I.S. EUGANEO - ESTE;ESTE;ISTITUTO SUPERIORE;PDIS026002@istruzione.it;VIA BORGOFURO6;PADOVA;VENETO;Non Disponibile;11.6633;45.22497
36040;VIIC813005;VIMM813016;IC MUTTONI. SAREGO;SMS MUTTONI SAREGO/MELEDO;SAREGO;SCUOLA PRIMO GRADO;VIIC813005@istruzione.it;VIA DAMIANO CHIESA  5;VICENZA;VENETO;www.icmuttonisarego.gov.it;11.4123895;45.4341611
35010;PDIC861005;PDMM861016;DI BORGORICCO;BORGORICCO;BORGORICCO;SCUOLA PRIMO GRADO;PDIC861005@istruzione.it;VIALE EUROPA14;PADOVA;VENETO;http://icborgoricco.net;11.6984809;45.625244
35125;PDIC88500N;PDEE88502R;X IC DI PADOVA STEFANINI;LUIGI LUZZATTI;PADOVA;SCUOLA PRIMARIA;PDIC88500N@istruzione.it;VIA SALBORO 2A;PADOVA;VENETO;www.10icpadova.gov.it;11.8933443;45.3589352
35010;PDIC86500C;PDEE86501E;ISTITUTO COMPR. VIGODARZERE;VIGODARZERE DON BOSCO;VIGODARZERE;SCUOLA PRIMARIA;PDIC86500C@istruzione.it;P.ZA MARTIRI DELLA LIBERTA' 2;PADOVA;VENETO;www.icvigodarzere.gov.it;11.87991;45.45579
31053;TVIS00100Q;TVTL00101C;IS MARCO CASAGRANDE;ITG. P.SOLIGO(S.C. I.S.CASAGRANDE PIEVE;PIEVE DI SOLIGO;ISTITUTO TECNICO PER GEOMETRI;TVIS00100Q@istruzione.it;VIA STADIO 7;TREVISO;VENETO;www.isisspieve.it;12.165704;45.9046949
31050;TVIC875005;TVEE87504A;IC RONCADE;L. EINAUDI;RONCADE;SCUOLA PRIMARIA;TVIC875005@istruzione.it;VIA TRENTO TRIESTE 2;TREVISO;VENETO;www.icroncade.it;12.0523399;45.66186
31045;TVIC88100C;TVIC88100C;IC MOTTA DI LIVENZA;IC MOTTA DI LIVENZA;MOTTA DI LIVENZA;ISTITUTO COMPRENSIVO;TVIC88100C@istruzione.it;VIA MANZONI 2;TREVISO;VENETO;Non Disponibile;12.6047517;45.7745606
37045;VRIS01400D;VRIS01400D;G.SILVA-M.RICCI;G.SILVA-M.RICCI;LEGNAGO;ISTITUTO SUPERIORE;VRIS01400D@istruzione.it;VIA NINO BIXIO 53;VERONA;VENETO;Non Disponibile;11.317061;45.20101
37060;VRIC814009;VREE81403D;IC SONA;SONA  ALEARDI A.;SONA;SCUOLA PRIMARIA;VRIC814009@istruzione.it;VIA ROMA;VERONA;VENETO;www.icsona.gov.it;11.1055077;45.1397267
45011;ROIC81400C;ROMM81403G;ADRIA DUE;BUZZOLLA - ADRIA;ADRIA;SCUOLA PRIMO GRADO;ROIC81400C@istruzione.it;VIA ARZERON N. 45;ROVIGO;VENETO;www.comprensivoadriadue.gov.it;12.0581979;45.0576143
30030;VEIC868002;VEAA868031;I.C.  LUIGI NONO MIRA  I;PIAZZA VECCHIA;MIRA;SCUOLA INFANZIA;VEIC868002@istruzione.it;VIA XXV APRILE;VENEZIA;VENETO;www.istitutocomprensivomira1.gov.it;12.1284821;45.5398476
36050;VIIC82200X;VIMM822033;IST. COMPRENSIVO P. ANTONIBON;SMS POZZOLEONE;POZZOLEONE;SCUOLA PRIMO GRADO;VIIC82200X@istruzione.it;VIA CASONA 30;VICENZA;VENETO;www.comprensivodinove.com;11.6753761;45.6541275
36010;VIIC80900D;VIEE80903N;IC REZZARA CARRE';IC CARRE'-ZANE'-CAPOLUOGO;ZANE';SCUOLA PRIMARIA;VIIC80900D@istruzione.it;VIA SAN GIUSEPPE 31;VICENZA;VENETO;icscarre.gov.it;11.4585417;45.7201377
30027;VEIC82800G;VEEE82802P;LUCIA  SCHIAVINATO;SCUOLA ELEMENTARE MARCO POLO;SAN DONA' DI PIAVE;SCUOLA PRIMARIA;VEIC82800G@istruzione.it;VIA PASSARELLA 70 SAN DONA' DI PIAVE;VENEZIA;VENETO;www.icschiavinato.it;12.6067775;45.5945866
30026;VEIC85800B;VEEE85802E;I.C. GIOVANNI PASCOLI;DON LORENZO MILANI;PORTOGRUARO;SCUOLA PRIMARIA;VEIC85800B@istruzione.it;VIA MAGELLANO N. 18;VENEZIA;VENETO;www.icpascoliportogruaro.it;12.8298887;45.7838364
35031;PDIC85000P;PDIC85000P;ISTIT. COMPRENS. ABANO TERME;ISTIT. COMPRENS. ABANO TERME;ABANO TERME;ISTITUTO COMPRENSIVO;PDIC85000P@istruzione.it;VIA SAN GIOVANNI BOSCO 1;PADOVA;VENETO;Non Disponibile;11.7820472;45.3579269
32037;BLIC83200V;BLAA83202R;IC  SEDICO;SOSPIROLO;SOSPIROLO;SCUOLA INFANZIA;BLIC83200V@istruzione.it;VIA MARAS 167;BELLUNO;VENETO;www.istitutocomprensivosedicosospirolo.gov.it;12.0652801;46.1318415
31040;TVIC81400N;TVMM81401P;IC VOLPAGO DEL MONTELLO;SMSPERTINIVOLPAGO DEL M. (IC);VOLPAGO DEL MONTELLO;SCUOLA PRIMO GRADO;TVIC81400N@istruzione.it;VIA        F.M. PRETI   1;TREVISO;VENETO;www.icsvolpago.it;12.12529;45.78448
36075;VIIC876008;VIAA876026;IC ANNA FRANK- MONTECCHIO M.1;IC MONTECCHIO M. 1 - SAN VITALE;MONTECCHIO MAGGIORE;SCUOLA INFANZIA;VIIC876008@istruzione.it;VIA VENETO;VICENZA;VENETO;www.ic1montecchio.it;11.397911;45.5116266
36030;VIIC81500R;VIEE815031;IC ALIGHIERI CALDOGNO;SCUOLA PRIMARIA C. COLLODI;CALDOGNO;SCUOLA PRIMARIA;VIIC81500R@istruzione.it;VIA SUMMANO 46;VICENZA;VENETO;www.istitutocaldogno.it;11.5261006;45.5957323
30030;VEIC83000G;VEMM83001L;GIOVANNI XXIII;GIOVANNI XXIII;PIANIGA;SCUOLA PRIMO GRADO;VEIC83000G@istruzione.it;VIA VESCOVO 3;VENEZIA;VENETO;www.icpianiga.gov.it;12.032179;45.4564243
31040;TVIC88100C;TVMM88102E;IC MOTTA DI LIVENZA;SMS MEDUNA DI LIVENZA (IC MOTTA;MEDUNA DI LIVENZA;SCUOLA PRIMO GRADO;TVIC88100C@istruzione.it;VIA S. BELLINO 32;TREVISO;VENETO;www.icmottadilivenza.gov.it;12.617476;45.8059759
37051;VRIC872009;VRMM87201A;IC BOVOLONE;BOVOLONE - F. CAPPA;BOVOLONE;SCUOLA PRIMO GRADO;VRIC872009@istruzione.it;VIA        FRATELLI BANDIERA 8;VERONA;VENETO;www.icbovolone.gov.it;11.130171;45.255964
37030;VRIC860003;VREE86006A;IC TREGNAGO - BADIA CALAVENA;S.MAURO DI SALINE;SAN MAURO DI SALINE;SCUOLA PRIMARIA;VRIC860003@istruzione.it;VIA DOSSO NARDARI  21;VERONA;VENETO;www.ictregnago.gov.it;11.1096299;45.56423
45020;ROIC81700X;ROAA81703V;LENDINARA;DE AMICIS E. - FRAZ. CA' ZEN;LUSIA;SCUOLA INFANZIA;ROIC81700X@istruzione.it;VIA RONCHELLO;ROVIGO;VENETO;www.icslendinara.gov.it;11.6880447;45.0969317
35020;PDIC895008;PDMM895019;ALBIGNASEGO;ALBIGNASEGO VALGIMIGLI;ALBIGNASEGO;SCUOLA PRIMO GRADO;PDIC895008@istruzione.it;VIA TITO LIVIO 1;PADOVA;VENETO;Non Disponibile;11.8628573;45.3475302
31020;TVIC841002;TVMM841013;IC SERNAGLIA DELLA BATTAGLIA;SMS   NIEVO SERNAGLIA D.B.(IC);SERNAGLIA DELLA BATTAGLIA;SCUOLA PRIMO GRADO;TVIC841002@istruzione.it;VIALE      RIMEMBRANZA         7;TREVISO;VENETO;www.icsernaglia.gov.it;12.13385;45.87185
37049;VRIC84600R;VRAA84601N;IC VILLA BARTOLOMEA;VILLABARTOLOMEARAGGIO DI SOLE;VILLA BARTOLOMEA;SCUOLA INFANZIA;VRIC84600R@istruzione.it;VIA IV NOVEMBRE;VERONA;VENETO;icvillabartolomea.gov.it;11.3531971;45.1607946
37029;VRIS016005;VRTD01601B;L. CALABRESE - P. LEVI;LORENZO CALABRESE;SAN PIETRO IN CARIANO;ISTITUTO TECNICO COMMERCIALE;VRIS016005@istruzione.it;VIA        MARA 6;VERONA;VENETO;www.calabreselevi.it;10.88442;45.52022
45100;ROIS012001;ROIS012001;I.I.S. VIOLA-MARCHESINI - ROVIGO;I.I.S. VIOLA-MARCHESINI - ROVIGO;ROVIGO;ISTITUTO SUPERIORE;ROIS012001@istruzione.it;VIA DE GASPERI 21;ROVIGO;VENETO;www.ipsiarovigo.it;11.79548;45.08081
37060;VRIC83800T;VRAA83802Q;IC LUGAGNANO DI SONA;MATERNA DI LUGAGNANO;SONA;SCUOLA INFANZIA;VRIC83800T@istruzione.it;VIA ALCIDE DE GASPERI;VERONA;VENETO;WWW.ICLUGAGNANO.GOV.IT;10.886134;45.4340023
36063;VIIC884007;VIEE88402A;ISTITUTO COMPRENSIVO  MAROSTICA;G. PASCOLI;MAROSTICA;SCUOLA PRIMARIA;VIIC884007@istruzione.it;VIA MARSAN 11;VICENZA;VENETO;www.icmarostica.gov.it;11.6827144;45.7560385
32038;BLIC81300D;BLMM81301E;IC QUERO VAS;DON ORIONE - QUERO;QUERO VAS;SCUOLA PRIMO GRADO;BLIC81300D@istruzione.it;VIA        NAZIONALE 35/B;BELLUNO;VENETO;www.icquero.it;12.2038327;46.4643691
35046;PDIC87200G;PDEE87201N;DI MEGLIADINO SAN FIDENZIO;SALETTO-EMANUELE FILIBERTO;SALETTO;SCUOLA PRIMARIA;PDIC87200G@istruzione.it;VIA MARCONI  35;PADOVA;VENETO;www.icmegliadino.it;11.5397831;45.2237387
31017;TVIC86500E;TVEE86504Q;IC CRESPANO DEL GRAPPA;MADONNINA DEL GRAPPA - CRESPANO;CRESPANO DEL GRAPPA;SCUOLA PRIMARIA;TVIC86500E@istruzione.it;VIA S. CARLO 5;TREVISO;VENETO;www.iccrespano.gov.it;11.8349696;45.8284815
36015;VIIC842005;VIEE842017;IC 1 SCHIODON A. BATTISTELLA;SCUOLA PRIMARIA  - DON MILANI;SCHIO;SCUOLA PRIMARIA;VIIC842005@istruzione.it;VIA GIOVANNI XXIII  23;VICENZA;VENETO;www.icsbattistella.it;11.37186;45.69592
32100;BLIC829003;BLIC829003;IC 1 BELLUNO;IC 1 BELLUNO;BELLUNO;ISTITUTO COMPRENSIVO;BLIC829003@istruzione.it;VIA CAVOUR 2;BELLUNO;VENETO;Non Disponibile;12.2115417;46.1405612
32040;BLIC82500Q;BLMM82504X;IC S. STEFANO DI CADORE;MEDIA PAPA LUCIANI CANDIDE;COMELICO SUPERIORE;SCUOLA PRIMO GRADO;BLIC82500Q@istruzione.it;VIA GIOVANNI PAOLO I 29;BELLUNO;VENETO;www.icsantostefanodicadore.it;12.5102294;46.5906772
45011;ROIC815008;ROMM815019;ADRIA UNO;M. MARIN - ADRIA;ADRIA;SCUOLA PRIMO GRADO;ROIC815008@istruzione.it;VIA SAN FRANCESCO 31;ROVIGO;VENETO;adriauno.gov.it;12.0595353;45.0489155
35013;PDIC896004;PDAA896011;CITTADELLA;CASARETTA;CITTADELLA;SCUOLA INFANZIA;PDIC896004@istruzione.it;VIA CASARETTA 117;PADOVA;VENETO;www.iccittadella.gov.it;11.766402;45.650868
36010;VIIC850004;VIEE850038;I.C.S. DON BOSCO;SCUOLA PRIMARIA G. ROSSI;MONTICELLO CONTE OTTO;SCUOLA PRIMARIA;VIIC850004@istruzione.it;VIA S. FLORIANO 17;VICENZA;VENETO;www.icmonticello.it;11.590739;45.6059672
35017;PDIC86300R;PDIC86300R;DI PIOMBINO DESE;DI PIOMBINO DESE;PIOMBINO DESE;ISTITUTO COMPRENSIVO;PDIC86300R@istruzione.it;VIA DANTE9;PADOVA;VENETO;Non Disponibile;11.9940889;45.6098566
35135;PDTD20000R;PDTD20001T;ITSCT EINAUDI-GRAMSCI;ITC  SEZ. CARCERARIA (S.A. EINAUDI)-PD;PADOVA;ISTITUTO TECNICO COMMERCIALE;PDTD20000R@istruzione.it;VIA DUE PALAZZI;PADOVA;VENETO;www.educandatosanbenedetto.it;11.8600971;45.4383761
35020;PDIC825002;PDMM825024;ISTITUTO COMPRENSIVO  LEGNARO;POLVERARA SEZ. DI LEGNARO;POLVERARA;SCUOLA PRIMO GRADO;PDIC825002@istruzione.it;VIA        ROMA              19;PADOVA;VENETO;istitutocomprensivolegnaro.it;11.8693166;45.3538425
31022;TVIC81300T;TVMM81301V;IC PREGANZIOL;SMS PREGANZIOL (I.C);PREGANZIOL;SCUOLA PRIMO GRADO;TVIC81300T@istruzione.it;VIA A.MANZONI;TREVISO;VENETO;www.icpreganziol.gov.it;12.2371844;45.6003385
31100;TVIC874009;TVEE87401B;IC TREVISO 5  L.COLETTI;COLLODI;TREVISO;SCUOLA PRIMARIA;TVIC874009@istruzione.it;VIA MANTIERO 29;TREVISO;VENETO;www.comprensivo5colettitv.gov.it;12.21709;45.67841
31100;TVIC87100T;TVEE871043;IC TREVISO 2 SERENA;GIOVANNI XXIII;TREVISO;SCUOLA PRIMARIA;TVIC87100T@istruzione.it;VIA FEDERICI;TREVISO;VENETO;www.ic2serenatreviso.gov.it;12.2386543;45.6722369
37010;VRIC83300P;VREE83302T;IC CAVAION;ADELINA SOLETTI;CAVAION VERONESE;SCUOLA PRIMARIA;VRIC83300P@istruzione.it;VIA C.BATTISTI 13;VERONA;VENETO;www.iccavaion.gov.it;10.76852;45.538157
45020;ROIC810005;ROEE810028;FIESSO UMBERTIANO;VITT.DA FELTRE -CASTELGUGLIELMO;CASTELGUGLIELMO;SCUOLA PRIMARIA;ROIC810005@istruzione.it;VIA PIO MAZZUCCHI 63;ROVIGO;VENETO;icfiessoumbertiano.gov.it;11.5389956;45.0269186
30013;VEIC833003;VEEE833037;DANIELE  MANIN;G. PASCOLI - CAVALLINO;CAVALLINO - TREPORTI;SCUOLA PRIMARIA;VEIC833003@istruzione.it;VIA DELL'AVIERE 1;VENEZIA;VENETO;www.icmanin.gov.it;12.5454028;45.4786494
30173;VEIC81000A;VEAA810028;ANTONIO GRAMSCI;ARCOBALENO;VENEZIA;SCUOLA INFANZIA;VEIC81000A@istruzione.it;VIA ORLANDA;VENEZIA;VENETO;www.icgramscicampalto.it;12.3002025;45.4881231
35015;PDIC837008;PDIC837008;DI GALLIERA VENETA;DI GALLIERA VENETA;GALLIERA VENETA;ISTITUTO COMPRENSIVO;PDIC837008@istruzione.it;VIA G. LEOPARDI 10;PADOVA;VENETO;Non Disponibile;11.8293055;45.6684165
31030;TVIC85600Q;TVEE85602V;IC CARBONERA;E. DE AMICIS;CARBONERA;SCUOLA PRIMARIA;TVIC85600Q@istruzione.it;VIA I MAGGIO 60;TREVISO;VENETO;www.iccarboneratv.gov.it;12.28633;45.684515
45010;ROIC802006;ROMM802028;LOREO;M.SANUDO IL GIOVANE - ROSOLINA;ROSOLINA;SCUOLA PRIMO GRADO;ROIC802006@istruzione.it;VIA ZANINI 41;ROVIGO;VENETO;www.icloreo.gov.it;12.2434256;45.0747983
30037;VEIC83600E;VEMM83601G;GALILEO  GALILEI;G. GALILEI;SCORZE';SCUOLA PRIMO GRADO;VEIC83600E@istruzione.it;VIA VENEZIA 46;VENEZIA;VENETO;www.comprensivoggalilei.gov.it;12.1100903;45.5700158
30123;VEIS00800E;VERF008017;VENDRAMIN CORNER;V. CORNER;VENEZIA;IST PROF PER I SERVIZI SOCIALI;VEIS00800E@istruzione.it;SESTIERE DORSODURO 2376;VENEZIA;VENETO;www.ptpvenezia.it;12.3258529;45.4343187
32010;BLIC822008;BLEE82205E;IC PUOS D'ALPAGO;LUDWIG VAN BEETHOVEN;PIEVE D'ALPAGO;SCUOLA PRIMARIA;BLIC822008@istruzione.it;VIA CATISANA 10;BELLUNO;VENETO;www.comprensivopuos.it;12.3569071;46.1668256
31040;TVIC83700A;TVMM83702C;IC GIAVERA DEL MONTELLO;SMS GNOCCHI NERVESA (IC GIAVERA;NERVESA DELLA BATTAGLIA;SCUOLA PRIMO GRADO;TVIC83700A@istruzione.it;VIA BOMBARDIERI DEL RE  10;TREVISO;VENETO;www.icgiavera.it;12.2082166;45.8246613
37029;VRIC86900D;VREE86902L;IC S.PIETRO IN CARIANO;CORRUBBIO;SAN PIETRO IN CARIANO;SCUOLA PRIMARIA;VRIC86900D@istruzione.it;VIA CEDRARE 3;VERONA;VENETO;WWW.ICSANPIETROINCARIANO.GOV.IT;10.9086858;45.4879938
36028;VIIC85300G;VIEE85301N;IC ROSSANO V.TO  G. RODARI;ROSSANO VEN. - CAPOLUOGO -;ROSSANO VENETO;SCUOLA PRIMARIA;VIIC85300G@istruzione.it;VIA STAZIONE 12/A;VICENZA;VENETO;www.rodari-rossano.org;11.7965259;45.7044617
36020;VIIC814001;VIMM814023;IC A. PALLADIO - POIANA;F. PETRARCA- CAMPIGLIA DEI B.;CAMPIGLIA DEI BERICI;SCUOLA PRIMO GRADO;VIIC814001@istruzione.it;VIA ROMA 7;VICENZA;VENETO;icspojana.gov.it;11.58933;45.36052
30173;VEIC81000A;VEAA810017;ANTONIO GRAMSCI;GIRASOLE;VENEZIA;SCUOLA INFANZIA;VEIC81000A@istruzione.it;VIA SABBADINO;VENEZIA;VENETO;www.icgramscicampalto.it;12.2903068;45.4819401
30036;VEIC82100R;VEEE821064;F. E  P.  CORDENONS;FILIPPO FARSETTI;SANTA MARIA DI SALA;SCUOLA PRIMARIA;VEIC82100R@istruzione.it;VIALE RIMEMBRANZE 2;VENEZIA;VENETO;www.iccordenons.gov.it;12.0343998;45.5067483
37068;VRIC89600T;VRIC89600T;IC VIGASIO;IC VIGASIO;VIGASIO;ISTITUTO COMPRENSIVO;VRIC89600T@istruzione.it;VIA E. BASSINI 6;VERONA;VENETO;Non Disponibile;10.9381523;45.3154729
37069;VRPS06000L;VRPS06000L;ENRICO MEDI;ENRICO MEDI;VILLAFRANCA DI VERONA;LICEO SCIENTIFICO;VRPS06000L@istruzione.it;VIA        MAGENTA 7/A;VERONA;VENETO;www.liceomedivr.gov.it;10.8392241;45.3568533
37137;VRIC87700C;VRAA87702A;IC VR 05 SANTA LUCIA;CONTRADA POLESE;VERONA;SCUOLA INFANZIA;VRIC87700C@istruzione.it;SALITA S. LUCIA;VERONA;VENETO;www.ic5verona.gov.it;10.9605014;45.422451
45010;ROIC807009;ROAA80705A;ISTITUTO COMPRENSIVO VILLADOSE;INFANZIA - GAVELLO;GAVELLO;SCUOLA INFANZIA;ROIC807009@istruzione.it;VIA G. MATTEOTTI 54;ROVIGO;VENETO;www.icvilladose.gov.it;11.9147982;45.0232009
30020;VEIC82900B;VEEE82903G;EDMONDO DE AMICIS;FABIO FILZI;ERACLEA;SCUOLA PRIMARIA;VEIC82900B@istruzione.it;VIA SETTE CASONI N. 3;VENEZIA;VENETO;www.deamicis-eraclea.it;12.70132;45.59657
36010;VIIC80900D;VIEE80902L;IC REZZARA CARRE';IC CARRE' -CHIUPPANO;CHIUPPANO;SCUOLA PRIMARIA;VIIC80900D@istruzione.it;VIA XXV APRILE 1;VICENZA;VENETO;icscarre.gov.it;11.47461;45.86487
36025;VIIS00400E;VIPS004011;IS   U. MASOTTO;LS   U. MASOTTO   NOVENTA VICENTINA;NOVENTA VICENTINA;LICEO SCIENTIFICO;VIIS00400E@istruzione.it;VIA VERONESE 4;VICENZA;VENETO;www.istitutomasotto.gov.it;11.54262;45.2956
36042;VIIC81000N;VIMM81001P;IC  LAVERDA  BREGANZE;I.C. BREGANZE -SMS LAVERDA;BREGANZE;SCUOLA PRIMO GRADO;VIIC81000N@istruzione.it;PIAZZA DEGLI ALPINI   8/B;VICENZA;VENETO;istitutocomprensivo.breganze.vi.it;11.4325796;45.7620586
30020;VEIC825004;VEEE82505A;IPPOLITO NIEVO;GIOVANNI PASCOLI-CAP.;CINTO CAOMAGGIORE;SCUOLA PRIMARIA;VEIC825004@istruzione.it;VIA TORINO 2;VENEZIA;VENETO;www.icnievocinto.gov;12.7836807;45.8263815
30010;VEIC833003;VEMM833014;DANIELE  MANIN;VITTORE CARPACCIO;CAVALLINO - TREPORTI;SCUOLA PRIMO GRADO;VEIC833003@istruzione.it;VIA VETTOR PISANI 1;VENEZIA;VENETO;www.icmanin.gov.it;12.45991;45.45023
32043;BLMM024001;BLMM024001;CORTINA D'AMPEZZO ASS. VALBOITE;CORTINA D'AMPEZZO ASS. VALBOITE;CORTINA D'AMPEZZO;SCUOLA PRIMO GRADO;BLMM024001@istruzione.it;VIA DEL PARCO 9;BELLUNO;VENETO;www.polovalboite.it;12.1364489;46.5359912
31046;TVTD06000R;TVTD06000R;I.T.S.C.G J. SANSOVINO;I.T.S.C.G J. SANSOVINO;ODERZO;IST TEC COMMERCIALE E PER GEOMETRI;TVTD06000R@istruzione.it;VIA MASOTTI  2;TREVISO;VENETO;www.sansovino.gov.it;12.4888748;45.7861374
36100;VIIC86700D;VIMM86701E;IC VICENZA  8;SMS VIA CARTA  VICENZA;VICENZA;SCUOLA PRIMO GRADO;VIIC86700D@istruzione.it;VIA CARTA 3;VICENZA;VENETO;comprensivo8vicenza.it;11.52722;45.53506
36023;VIIC834006;VIEE83405C;IC LONGARE BIZIO;LONGARE - LUMIGNANO;LONGARE;SCUOLA PRIMARIA;VIIC834006@istruzione.it;P.ZZA MAZZARETTO 5;VICENZA;VENETO;iclongare.gov.it;11.587392;45.459667
36078;VIIS00300P;VIIS00300P;IIS    L. LUZZATTI;IIS    L. LUZZATTI;VALDAGNO;ISTITUTO SUPERIORE;VIIS00300P@istruzione.it;VIALE TRENTO 1;VICENZA;VENETO;http://www.ipsiaperin.it;11.30113;45.64821
30123;VEIC839002;VEAA83901V;DANTE ALIGHIERI;BRUNO MUNARI;VENEZIA;SCUOLA INFANZIA;VEIC839002@istruzione.it;SESTRIERE DORSODURO 616/A;VENEZIA;VENETO;www.alighierivenezia.eu;12.3339837;45.4308122
31048;TVIC832007;TVIC832007;IC SAN BIAGIO DI CALLALTA;IC SAN BIAGIO DI CALLALTA;SAN BIAGIO DI CALLALTA;ISTITUTO COMPRENSIVO;TVIC832007@istruzione.it;VIA 2 GIUGNO N. 43;TREVISO;VENETO;Non Disponibile;12.38073;45.68651
37020;VRIC849008;VRAA849026;IC DOLCE' PERI;SCUOLA DELL'INFANZIA DI RIVALTA;BRENTINO BELLUNO;SCUOLA INFANZIA;VRIC849008@istruzione.it;VIA LAVAL  1;VERONA;VENETO;www.icperi.gov.it;10.8289188;45.4633016
30123;VEIS02400C;VESL02401Q;M.POLO-LICEO ARTISTICO;LICEO ARTISTICO STATALE;VENEZIA;LICEO ARTISTICO;VEIS02400C@istruzione.it;SESTIERE DI DORSODURO N. 1012;VENEZIA;VENETO;www.iismarcopololiceoartisticovenezia.gov.it;12.32685;45.43149
30031;VEPS07000G;VEPS07000G;GALILEO GALILEI;GALILEO GALILEI;DOLO;LICEO SCIENTIFICO;VEPS07000G@istruzione.it;VIA CURZIO FRASIO N. 27;VENEZIA;VENETO;www.liceogalileidolo.gov.it;12.0836294;45.4289906
30124;VEIC839002;VEIC839002;DANTE ALIGHIERI;DANTE ALIGHIERI;VENEZIA;ISTITUTO COMPRENSIVO;VEIC839002@istruzione.it;SESTIERE DI SAN MARCO N. 3042;VENEZIA;VENETO;Non Disponibile;12.3293983;45.4348905
37047;VRIS008006;VRPM00801N;GUARINO VERONESE;GUARINO VERONESE;SAN BONIFACIO;ISTITUTO MAGISTRALE;VRIS008006@istruzione.it;VIA CAV.DI VITTORIO VENETO 28;VERONA;VENETO;www.guarinoveronese.it;11.2732482;45.3964573
36100;VIIC86700D;VIAA86701A;IC VICENZA  8;IC VICENZA 8  MARCO POLO;VICENZA;SCUOLA INFANZIA;VIIC86700D@istruzione.it;VIA B.VIOLA;VICENZA;VENETO;www.comprensivo8vicenza.it;11.5241453;45.5344151
36056;VIIC82900P;VIIC82900P;ICF.D'ASSISI TEZZE SUL BRENTA;ICF.D'ASSISI TEZZE SUL BRENTA;TEZZE SUL BRENTA;ISTITUTO COMPRENSIVO;VIIC82900P@istruzione.it;VIA DON ANTONIO BELLUZZO 3;VICENZA;VENETO;Non Disponibile;11.706235;45.6868011
35020;PDIC845007;PDMM845018;DI SAONARA;M.FANNO - SAONARA;SAONARA;SCUOLA PRIMO GRADO;PDIC845007@istruzione.it;VIA  V. BACHELET 14;PADOVA;VENETO;www.comprensivosaonara.it;12.04892;45.27141
